"pathway","pvalue","NES","genes"
"GO_ADHERENS_JUNCTION_ORGANIZATION",0.000193723363037582,2.21258457480421,"CDH6,WHAMM,CDH13,PVR,CADM1,TAOK2,ACTN1,CDH2,PTPRK,CTNND1,ZNF703,VCL,SORBS1,CDH8,FERMT2,ARHGEF7,CDH15,DSP,TRIP6,HIPK1,CDH4,DLC1,CTTN,RAB8B,CDC42,PIP5K1C,PDPK1,THY1,NUMBL,JUP,CDH3,ITGA2"
"GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.000194250194250194,2.17503297954819,"ACTN4,EZR,SHROOM1,NEDD9,PAWR,ACTN1,PHACTR1,RHOA,SRF,SHROOM2,CORO1B,ZYX,TNFAIP1,SORBS1,LCP1,BAIAP2,SPIRE1,BAIAP2L1,CDC42,FSCN1,ITGB5,KCTD13,ITGB1,SWAP70,RHOD"
"GO_ACTIN_FILAMENT_BASED_PROCESS",0.000190331176246669,2.14801237524207,"PDLIM3,ANKRD1,GPR65,GJA5,WHAMM,MYL6,LMOD1,PDGFA,CNN1,DMD,FGD6,VASP,ARPC2,ACTN4,EZR,SHROOM1,DNAJB6,NEDD9,WDR1,CAP1,MYH9,FLNA,CAPN10,TAOK2,PAWR,RND3,RHOJ,TPM1,ARPC4,SIPA1L1,CORO7,ERMN,ACTN1,CFLAR,ACTR3,AMOT,PDLIM7,ITPKA,FMN1,TPM4,CNN3,MYH8,PHACTR1,MEF2A,ARPC5,DSTN,TNIK,AQP1,MYH4,MICAL2,RHOA,SPTAN1,ARHGEF17,CNN2,MINK1,INPPL1,ACTR2,SRF,INF2,SHROOM2,KIT,CASQ2,ABI2,TMSB4X,ARPC5L,CORO1B,PRKCI,NCK2,ARPC1B,ZYX,BCAR1,ACTG1,MYO6,TLN1,TNFAIP1,DLG1,BCR,PFN1,MYH11,SSH2,SORBS3,ARPC3,SORBS1,NF2,PPARGC1B,KRT19,CDC42BPG,RAC3,LCP1,ARHGEF18,SCN5A,PLEK2,RALA,S1PR1,CORO1C,CORO6,BAIAP2,PARVA,CFL1,FLII,SPIRE1,CFL2,SUN2,PTPN1,TPM3,NF1,ACTR3C,BRK1,PFN2,LDB3,SLC9A1,MOB2,ANXA1,ATP2C1,FRYL,ROCK1,TMSB15A,CDC42BPA,CYTH2,EHD2,DLC1,CTTN,BAIAP2L1,SLC9A3R1,CDC42,PIP5K1C,MAGEL2,MTSS1,FHL3,FRMD6,TMOD1,GSN,PAFAH1B1,PDPK1,ARFIP2,OPHN1,ABI1,PPP1R9A,SHC1,DAAM2,FSCN1,TRIM32,EPB41L4B,OBSCN,PLS1,FRY,FLNB,FER,ITGB5,KCTD13,ITGB1,RHOG,DIAPH1,MICALL2,SWAP70,TMSB15B,NEB,GJC1,ARF1,MYO9B,PALLD,INPP5K,RHOD,FAT1"
"GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS",0.000193723363037582,2.14142149429131,"PSMD11,PSMD8,COMT,BHMT,PSMC1,PSMC4,PSME4,PSMD6,PSMB6,PSMB4,SLC7A7,PSMD2,PSMC2,PSMA7,PSMA1,APC,PSMD7,PSMA5,PSMD1,PSMB7,PSMD13,PSMD12,PSMD14,AZIN1,PSMD3,PSMB5,PSMC6,PSMB10,ATP2B4,OAZ1,PSMC3,ODC1,PSMB8,ACMSD,PSMC5,PSMA4,PSMB1,PARK7,OAZ2"
"GO_ACTIN_FILAMENT_ORGANIZATION",0.000192344681669552,2.12149117424653,"PDLIM3,WHAMM,LMOD1,VASP,ARPC2,ACTN4,EZR,SHROOM1,NEDD9,FLNA,PAWR,ARPC4,CORO7,ERMN,ACTN1,ACTR3,FMN1,PHACTR1,ARPC5,DSTN,MICAL2,RHOA,INPPL1,ACTR2,SRF,SHROOM2,ABI2,TMSB4X,ARPC5L,CORO1B,PRKCI,NCK2,ARPC1B,ZYX,BCAR1,TNFAIP1,DLG1,SORBS3,ARPC3,SORBS1,PPARGC1B,LCP1,BAIAP2,CFL1,SPIRE1,CFL2,ACTR3C,FRYL,TMSB15A,CTTN,BAIAP2L1,CDC42,MAGEL2,TMOD1,GSN,ABI1,PPP1R9A,FSCN1,FRY,ITGB5,KCTD13,ITGB1,DIAPH1,MICALL2,SWAP70,TMSB15B,ARF1,RHOD,FAT1,SHROOM4,SORBS2"
"GO_CELLULAR_COMPONENT_MAINTENANCE",0.000194628260023355,2.11964794692154,"KIFC3,MTMR2,ITGA3,ITPKA,MYOCD,TANC1,PICK1,RAB3A,MYADM,CTTN"
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",0.00019293845263361,2.09325669192233,"PSMD11,PSMD8,PSMC1,PSMC4,PSME4,PSMD6,PSMB6,PSMB4,PSMD2,PSMC2,PSMA7,CYBA,PSMA1,HLA-F,PSMD7,PSMA5,LNPEP,PSMD1,ITGB5,PSMB7,PSMD13,PSMD12,PSMD14,PSMD3,PSMB5,PSMC6,ITGAV,PSMB10"
"GO_CELL_JUNCTION_ORGANIZATION",0.00019208605455244,2.08568714568177,"CDH6,GJA5,KIFC3,WHAMM,FBLIM1,CDH13,VASP,PVR,ACTN4,ILK,CADM1,TGFB2,FLNA,TAOK2,ACTB,PARD6G,ACTN1,CDH2,AMOT,PTPRK,CTNND1,ZNF703,DSG2,RHOA,SRF,PRKCI,ACTG1,PKP4,MPP7,TLN1,DLG1,LIMS2,CLDN1,MPP5,RHOC,VCL,SORBS1,CDH8,FERMT2,ARHGEF7,CD151,NF2,NLGN4X,ITGA5,TNS1,CDH15,DSP,PKP3,MYADM,TRIP6,HIPK1,CDH4,DLC1,CTTN,GJB2,RAB8B,CDC42,PIP5K1C,APC,PDPK1,CCM2,THY1,FSCN1,NUMBL,JUP,CDH3,ITGA2,CNTNAP1"
"GO_ACTIN_CYTOSKELETON_REORGANIZATION",0.000194287934719254,2.05704374184165,"GPR65,WHAMM,EZR,MYH9,FLNA,CAPN10,SIPA1L1,PHACTR1,TNIK,RHOA,SPTAN1,MINK1,KIT,CDC42BPG,RALA,S1PR1,PARVA,PTPN1,ANXA1,ATP2C1,FRYL,CDC42BPA,CTTN,GSN,SHC1,FRY,FER"
"GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.000194174757281553,2.05100759249425,"ANKRD1,LMOD1,CNN1,WDR1,MYH9,TPM1,CFLAR,CNN3,PHACTR1,MEF2A,RHOA,CNN2,SRF,CASQ2,ZYX,ACTG1,TNFAIP1,MYH11,SORBS1,KRT19,CFL2,LDB3,CDC42BPA,TMOD1,EPB41L4B,OBSCN,ITGB5,KCTD13,ITGB1"
