"pathway","pvalue","NES","genes"
"HALLMARK_APICAL_JUNCTION",0.000196309383588536,1.88105661948848,"CDH6, ACTG2, TNFRSF11B, NEXN, PCDH1, ICAM5, VASP, ARPC2, MYL12B, ACTN4, MYL9, CAP1, CALB2, MYH9, AMIGO2, TAOK2, ACTB, PARD6G, ITGA3, PIK3CB, CD274, YWHAH, ACTN1, DSC3, STX4, CTNND1, CNN2, INPPL1, SHROOM2, CNTN1, ADRA1B, ZYX, ACTG1, RSU1, DLG1, MPP5, PFN1, SLC30A3, VCL, PTK2, SORBS3, CDH8, NF2, AKT3, BAIAP2, PARVA, PIK3R3, MVD, GNAI2, CDH15, NF1, ADAM23, MAPK11, CDH4, MSN, AMH, CDK8, IKBKG, SHC1, THY1, FSCN1, JUP, ICAM1, CDH3, ITGA2, TSPAN4, GAMT, ICAM4, ITGB1, PLCG1, CLDN14"
"HALLMARK_MYOGENESIS",0.000196309383588536,1.8107112329078,"TAGLN, CACNA1H, GJA5, KIFC3, PSEN2, IGFBP7, DMD, CDH13, MYO1C, MYLK, MYH9, RB1, COL4A2, AGRN, HBEGF, PDLIM7, CHRNA1, RIT1, HSPB8, CNN3, MYH8, MEF2A, MAPRE3, SYNGR2, MYH4, KLF5, SPTAN1, MYH1, CASQ2, ENO3, NOS1, SIRT2, FKBP1B, ITGA7, REEP1, SMTN, MYH11, IFRD1, SORBS3, SORBS1, LPIN1, PLXNB2, MAPK12, ACHE, PICK1, COX7A1, FLII, TPM3, DMPK, AEBP1, LDB3, IGFBP3, CHRNB1, NCAM1, FDPS, SCHIP1, ABLIM1"
"HALLMARK_HEDGEHOG_SIGNALING",0.0141321656050955,1.60877930490697,"CELSR1, RTN1, MYH9, NRP2, CDK5R1, AMOT, HEY2, NKX6-1, ACHE, CDK6, CRMP1, NF1, OPHN1, THY1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00314095013741657,1.59820213754585,"DUSP3, CAMK4, RIPK1, ACTR3, RIT1, ACTR2, SLC2A1, MKNK1, ARHGDIA, E2F1, PRKAA2, GNA14, PFN1, RAF1, ARPC3, SQSTM1, PPP2R1B, UBE2N, CFL1, PIK3R3, GSK3B, PPP1CA, CLTC, RALB, GRB2, MAPK8, YWHAB, RPTOR, MYD88, PIN1, AKT1, EIF4E, MAPK9, NGF, PLCG1, MAP2K3, ADCY2, ARF1, HRAS, PTPN11, UBE2D3, MAP3K7, TBK1, PLCB1"
"HALLMARK_APOPTOSIS",0.002940599882376,1.55399172853364,"DAP, PSEN2, PPP2R5B, CCND1, TGFB2, H1F0, NEDD9, BCL2L1, CFLAR, RHOT2, PEA15, TNFRSF12A, GADD45A, HSPB1, BIRC3, MCL1, SPTAN1, EBP, RELA, KRT18, BCL2L2, LEF1, CASP3, CYLD, RETSAT, TXNIP, DNAJA1, BCL10, PTK2, ENO2, ERBB2, TSPO, SQSTM1, SLC20A1, PMAIP1, VDAC2, TIMP3, IGF2R, ANXA1, PSEN1, ROCK1, RHOB, DIABLO"
"HALLMARK_ANDROGEN_RESPONSE",0.0149253731343284,1.47242097804821,"MYL12A, FADS1, PDLIM5, CCND1, CCND3, H1F0, SRP19, DHCR24, ACTN1, MAP7, ADRM1, SRF, STK39, PTPN21, IDI1, KRT19, SLC26A2, DBI, CDK6, HMGCR"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0254237288135593,1.45270002804364,"DHCR7, FADS2, STARD4, ETHE1, TNFRSF12A, SREBF2, JAG1, EBP, ACTG1, ATXN2, PCYT2, CYP51A1, LDLR, ABCA2, ERRFI1, IDI1, MVD, HMGCR, ACAT2, FDPS, ANTXR2, TM7SF2, PLAUR, SQLE, NSDHL, FDFT1, PMVK"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00682660425199922,1.43214384436291,"ACTA2, EDIL3, CDH6, TAGLN, TNFRSF11B, VEGFC, RGS4, PVR, FSTL3, TNFAIP3, MYL9, CADM1, CAP2, MYLK, FLNA, POSTN, COL4A2, TPM1, CDH2, TNFRSF12A, GADD45A, CYR61, COL4A1, TPM4, GLIPR1, IGFBP2, CTGF, QSOX1, INHBA, GPC1, GEM, NT5E, CALD1, DKK1, THBS1, IL15, ENO2, SPOCK1, AREG, FERMT2, OXTR, TIMP3, ITGA5, FUCA1, PFN2, CD59, IGFBP3, GREM1, SERPINE1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0279774625995726,1.31935705827295,"PTGER4, KLF2, IER2, PDLIM5, IL7R, TNFAIP3, CCND1, EDN1, PHLDA2, GPR183, PPP1R15A, SPSB1, CFLAR, HBEGF, GADD45A, CYR61, BIRC3, MCL1, JAG1, RELA, INHBA, RNF19B, GEM, YRDC, DDX58, EHD1, LDLR, AREG, SQSTM1, SERPINB2, LITAF, MXD1, TUBB2A, BCL2A1, CLCF1, FUT4, LIF, SERPINE1, FOSB, DRAM1, RHOB, NFAT5, ICAM1, SGK1, PLAUR, SERPINB8, PTX3, IL1B, BIRC2, DUSP5, MAP2K3, IER5, TNFRSF9, JUN, TAP1, DUSP1, NFKB2, SLC16A6, FOSL1, NFKB1, CCL20, MAFF, IFNGR2, NFKBIE, TNIP1, IFIT2"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0259130789634768,-1.33826822480297,"PROS1, RAP1GAP, AKR1C3, IL1R1, HMOX1, IGF1, SLC1A5, MAN1A1, ATOH8, F10, PTGDS, HGFAC, RBP4, KYNU, ACOX2, HSD17B2, FBLN1, PTGES, APOE, IGFBP4, EPHX1, AKR1C2, ALAS1, FAS, CDA, PGRMC1, PEMT, ALDH2, PDK4, TNFRSF1A, SHMT2, DHPS, ABCC3, TPST1, NFS1, CFB, ARG2, CDO1, ABCC2, BPHL"
