"pathway","pvalue","NES","genes"
"KEGG_PROTEASOME",0.00019723865877712,2.22887883067791,"POMP,PSMD11,PSMD8,PSMC1,PSMC4,PSME4,PSMD6,PSMB6,PSMB4,PSMD2,PSMC2,PSMA7,PSMA1,PSMD7,PSMA5,PSMD1,PSMB7,PSMD13,PSMD12,PSMD14,PSMD3,PSMB5,PSMC6,PSMB10"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.000392695857058708,1.98796434113287,"ARPC2,EZR,ACTB,ARPC4,ARPC5,RHOA,KRT18,ARPC5L,NCK2,ARPC1B,ACTG1,CLDN1,ARPC3,TUBB2A,TLR4,TUBA1A,ROCK1,TLR5,CTTN,CDC42,YWHAZ,TUBA3D,TUBB6,ITGB1"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.000194099378881988,1.97808795460362,"PDGFA,MYL12A,ARPC2,MYL12B,ACTN4,MYL9,EZR,FGF1,MYLK,MYH9,FGF14,ACTB,PIP4K2C,LIMK2,ITGA3,PIK3CB,CYFIP2,ARPC4,ACTN1,EGF,ARPC5,RHOA,ABI2,TMSB4X,ITGA4,ARPC5L,APC2,ARPC1B,BCAR1,ACTG1,ITGA7,FGF5,PFN1,VCL,PTK2,SSH2,RAF1,ARPC3,PIK3R2,ARHGEF7,RAC3,BAIAP2,CFL1,PIK3R3,ITGA5,CFL2,MYL5,IQGAP1,RRAS2,BRK1,PFN2,SLC9A1,PAK3,ROCK1,PPP1CA,ARHGEF1,SOS2,MSN,CRK,CDC42,PIP5K1C,CHRM2,GSN,APC,ITGAE"
"KEGG_STEROID_BIOSYNTHESIS",0.00238710960811617,1.89776138348815,"DHCR7,MSMO1,DHCR24,EBP,CYP51A1,SOAT1,CYP27B1,TM7SF2,SQLE,NSDHL,FDFT1"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.000984445757038787,1.87754674840567,"STX12,STX11,STX4,STX1B,STX6,GOSR2,VAMP2,STX3,YKT6,STX2,VAMP3,VAMP8,VAMP7,SNAP23"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.00277722674072605,1.87166084923658,"B3GALT2,B4GALT3,B3GNT5,ST3GAL6,FUT1,B3GNT2,B3GALT5,FUT4,B3GALT1,ST8SIA1,ST3GAL3"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.00117785630153121,1.85175361594921,"ATP6V0D1,ATP6V1D,ACTB,ATP6V0B,ATP6V0C,ATP6V1H,ATP6V0A1,ATP6V0E2,ACTG1,ATP6V1E1,ATP6V1B2,PRKACB,ATP6V0A2,ATP6V1F,SEC61G,ATP6V1A,SEC61B,ATP6V1G1,PRKACA,PLCG1,ARF1,ATP6V1C2,ATP6AP1,TJP2"
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.000974658869395711,1.80101272349276,"PIP4K2C,PIK3CB,SYNJ2,PLCB4,ITPKA,SYNJ1,INPPL1,INPP5A,DGKA,IPPK,CALM1,CDS1,CDS2,IMPA1,CALM2,DGKI,PIK3R2,PLCB3,DGKQ,DGKE,PIK3R3,OCRL,PI4KA,INPP5E,PIP5K1C,ITPKB"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.000591482649842271,1.79715739216751,"ESAM,MYL12A,VASP,MYL12B,ACTN4,MYL9,EZR,RAP1B,ACTB,SIPA1,PIK3CB,ACTN1,CTNND1,RHOA,ITGA4,BCAR1,ACTG1,CLDN1,VCL,PTK2,PIK3R2,MAPK12,PIK3R3,GNAI2,MYL5,CYBA,MAPK11,ROCK1,MSN,CDC42,RAPGEF3,ARHGAP5,THY1,ICAM1,ITGB1,PLCG1,CLDN14"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.00215475024485798,1.70904997189711,"CD4,PIK3CB,RHOA,RELA,NCK2,DLG1,BCL10,CARD11,RAF1,PIK3R2,MAPK12,CHUK,AKT3,CBL,PIK3R3,GSK3B,PAK3,TEC,MAPK11,SOS2,GRB2,PPP3CC,CDC42,PDPK1,AKT1,NFAT5,IKBKG,PPP3R1,CHP2,MAPK9,PLCG1,JUN,HRAS,NFATC3,NFKB1,MAP3K7,IKBKB,NFKBIE,PTPRC"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.0131920847491505,1.70758044696295,"DHDDS,IDI1,MVD,HMGCR,ACAT2,FDPS,PMVK,HMGCS1,MVK,ACAT1"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.00234375,1.67310929019846,"ACTA2,ACTG2,MYL6,KCNMB1,MYL9,MYLK,GNA11,PLCB4,PPP1R14A,RHOA,AGTR1,GNAQ,ADRA1B,CALD1,CALM1,ADCY5,CALM2,PRKCD,MYH11,RAF1,PLCB3,PRKACB,ADCY8,ROCK1,PPP1CA,ARHGEF1,PLA2G4B,MRVI1,PRKACA,ADCY7,KCNMB4,RAMP1,ADCY2,ADCY6,GNA13"
"KEGG_FOCAL_ADHESION",0.000195274360476469,1.64301434463562,"VEGFC,PDGFA,MYL12A,VASP,MYL12B,ACTN4,ILK,MYL9,CCND1,CCND3,RAP1B,MYLK,FLNA,ACTB,ITGA3,PIK3CB,COL4A2,COL4A6,ACTN1,COL4A1,SHC3,BIRC3,EGF,RHOA,IBSP,ITGA4,ZYX,BCAR1,FLT1,ACTG1,THBS1,TLN1,ITGA7,VCL,PTK2,RAF1,PIK3R2,ERBB2,COL4A4,RAC3,AKT3,PARVA,PIK3R3,ITGA5,GSK3B,MYL5,PAK3,ROCK1,PPP1CA,SOS2,CRK,GRB2,CDC42,PIP5K1C,MAPK8,RASGRF1,PDPK1,ARHGAP5,AKT1,ITGA1,SHC1,PDGFC,ITGA2,FLNB,ITGB5,MAPK9,BIRC2,ITGB1"
"KEGG_SMALL_CELL_LUNG_CANCER",0.00451157316594743,1.62280730868518,"CCND1,RARB,BCL2L1,ITGA3,PIK3CB,RB1,COL4A2,COL4A6,TRAF5,COL4A1,BIRC3,E2F3,RELA,E2F1,TRAF4,PTK2,PIK3R2,COL4A4,CHUK,AKT3,PIK3R3,CDK6,TRAF6,CCNE1,CCNE2,PIAS4,AKT1,IKBKG,CDKN2B,ITGA2,BIRC2,ITGB1"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.00333267986669281,1.57654202934659,"MAP3K1,RAP1B,ARHGDIB,SORT1,PIK3CB,CAMK4,YWHAH,MAP3K5,SHC3,CAMK2G,RHOA,NTF3,RELA,ARHGDIA,CALM1,CALM2,PRKCD,RAF1,PIK3R2,YWHAG,IRAK1,ZNF274,MAPK12,AKT3,PIK3R3,GSK3B,TRAF6,RPS6KA6,MAPK11,PSEN1,SOS2,NTRK2,CRK,GRB2,CDC42,MAPK8,YWHAB,YWHAZ,PDPK1,NTF4,AKT1,SHC1,RPS6KA4,MAPK9,NGF,PLCG1"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.0313609467455621,1.56290109221827,"CSGALNACT2,DSE,B3GALT6,CHSY3,CHST11,CHST15,CHST7,B3GAT3,B3GAT2,B4GALT7,CHPF"
"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.014589905362776,1.56169415347329,"CCND1,RARB,PIK3CB,RB1,RASSF1,EGF,E2F3,E2F1,RAF1,PIK3R2,ERBB2,AKT3,PIK3R3,CDK6,STK4,SOS2,GRB2,CDKN2A,TGFA,PDPK1,AKT1"
