"pathway","pvalue","NES","genes"
"GO_ACTIN_FILAMENT_BASED_PROCESS",0.000173822353554667,2.15049234689088,"PDLIM3,ANKRD1,GPR65,GJA5,PDGFA,LMOD1,MYL6,CNN1,WHAMM,DMD,FGD6,VASP,ARPC2,ACTN4,SHROOM1,DNAJB6,CAP1,NEDD9,WDR1,EZR,TAOK2,MYH9,FLNA,PAWR,AQP1,RHOJ,ARPC4,RND3,SIPA1L1,ERMN,TPM1,CORO7,CFLAR,ACTN1,AMOT,ACTR3,KIT,ITPKA,PDLIM7,FMN1,PHACTR1,MYH4,CAPN10,TPM4,CNN3,ARPC5,MYL4,MEF2A,MICAL2,TNIK,DSTN,CNN2,INPPL1,SRF,INF2,ACTR2,ABI2,TMSB4X,ARHGEF17,MYH8,SPTAN1,RHOA,PRKCI,NCK2,CORO1B,ZYX,MINK1,CASQ2,ARPC5L,SHROOM2,ARPC1B,ACTG1,MYH11,TLN1,MYO6,TNFAIP1,DLG1,BCAR1,BCR,PFN1,ARPC3,SORBS1,SORBS3,SSH2,PPARGC1B,CDC42BPG,RAC3,LCP1,KRT19,NF2,SCN5A,DAAM2,ARHGEF18,CORO6,CFL1,S1PR1,CORO1C,FLII,RALA,BAIAP2,PLEK2,LDB3,ACTR3C,SUN2,SCN4B,FRY,MOB2,SLC9A1,PTPN1,TPM3,BRK1,PFN2,LLGL2,ANXA1,CFL2,NF1,TMSB15A,FRYL,ATP2C1,XIRP2,MAGEL2,PARVA,CTTN,DLC1,TNNC1,CYTH2,SLC9A3R1,EHD2,BAIAP2L1,PIP5K1C,ACTN2,MTSS1,ROCK1,CDC42,SPIRE1,FHL3,TMOD1,PAFAH1B1,CDC42BPA,FRMD6,ARFIP2,PDPK1,ABI1,GSN,SORBS2,TRIM32,OPHN1,EPB41L4B,PLS1,SHC1,OBSCN,FSCN1,FLNB,FER,CASQ1,KCTD13,COBLL1,ITGB1,FGD4,ITGB5,MYPN,RHOG,DIAPH1,MICALL2,NEB,PPP1R9A,ARF1,MYO9B,SHROOM4,GJC1,NEBL,RHOD,TMSB15B,INPP5K,SWAP70,FAT1,SCN1B,TPM2,NCKAP1L,PALLD,TRIOBP"
"GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.0001886080724255,2.15036756673053,"ACTN4,SHROOM1,NEDD9,EZR,PAWR,ACTN1,PHACTR1,SRF,RHOA,CORO1B,ZYX,SHROOM2,TNFAIP1,SORBS1,LCP1,BAIAP2,BAIAP2L1,CDC42,SPIRE1,FSCN1,KCTD13,ITGB1,ITGB5,RHOD,SWAP70"
"GO_ACTIN_FILAMENT_ORGANIZATION",0.000183891136447223,2.09975620272797,"PDLIM3,LMOD1,WHAMM,VASP,ARPC2,ACTN4,SHROOM1,NEDD9,EZR,FLNA,PAWR,ARPC4,ERMN,CORO7,ACTN1,ACTR3,FMN1,PHACTR1,ARPC5,MICAL2,DSTN,INPPL1,SRF,ACTR2,ABI2,TMSB4X,RHOA,PRKCI,NCK2,CORO1B,ZYX,ARPC5L,SHROOM2,ARPC1B,TNFAIP1,DLG1,BCAR1,ARPC3,SORBS1,SORBS3,PPARGC1B,LCP1,CFL1,BAIAP2,ACTR3C,FRY,CFL2,TMSB15A,FRYL,MAGEL2,CTTN,BAIAP2L1,CDC42,SPIRE1,TMOD1,ABI1,GSN,SORBS2,FSCN1,KCTD13,COBLL1,ITGB1,ITGB5,DIAPH1,MICALL2,PPP1R9A,ARF1,SHROOM4,NEBL,RHOD,TMSB15B,SWAP70,FAT1"
"GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.000187195806813927,2.09119432919097,"ANKRD1,LMOD1,CNN1,WDR1,MYH9,TPM1,CFLAR,PHACTR1,CNN3,MEF2A,CNN2,SRF,RHOA,ZYX,CASQ2,ACTG1,MYH11,TNFAIP1,SORBS1,KRT19,LDB3,CFL2,ACTN2,TMOD1,CDC42BPA,EPB41L4B,OBSCN,CASQ1,KCTD13,ITGB1,ITGB5,MYPN"
"GO_CELLULAR_COMPONENT_MAINTENANCE",0.000190367409099562,2.05814943625366,"KIFC3,MTMR2,ITGA3,ITPKA,MYOCD,TANC1,PICK1,RAB3A,MYADM,CTTN"
"GO_ACTIN_CYTOSKELETON_REORGANIZATION",0.00018758206715438,2.03224753922392,"GPR65,WHAMM,EZR,MYH9,FLNA,SIPA1L1,KIT,PHACTR1,CAPN10,TNIK,SPTAN1,RHOA,MINK1,CDC42BPG,S1PR1,RALA,FRY,PTPN1,ANXA1,FRYL,ATP2C1,PARVA,CTTN,CDC42BPA,GSN,SHC1,FER"
"GO_PLATELET_AGGREGATION",0.00018811136192626,2.01915417856249,"ILK,MYL12A,MYL9,MYH9,FLNA,ACTB,PIK3CB,ACTN1,HSPB1,ACTG1,TLN1,CSRP1,VCL,GAS6,RAP2B"
"GO_ADHERENS_JUNCTION_ORGANIZATION",0.000187899285982713,2.00682795098376,"CDH6,WHAMM,CDH13,PVR,CADM1,TAOK2,ACTN1,CDH2,PTPRK,CTNND1,ZNF703,CDH8,SORBS1,ARHGEF7,VCL,CDH15,FERMT2,DSP,CDH4,CTTN,DLC1,PIP5K1C,ACTN2,CDC42,PDPK1,CDH3,TRIP6,HIPK1,THY1,RAB8B,NUMBL,ITGA2,JUP,RHOD"
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",0.000187055742611298,1.99770335758803,"PSMD8,PSMD11,PSMC1,PSME4,PSMB6,PSMD6,CYBA,PSMC4,PSMC2,PSMD2,PSMB4,FCGR1B,PSMA7,HLA-F,PSMD7,PSMA1,PSMA5,LNPEP,ITGB5,CD36,PSMD1,PSMB7,PSMD13,PSMD12,PSMD14,ITGAV,PSMB10,PSMD3,PSMC6,PSMB5,B2M,PSMC3,PSMB8"
"GO_CELL_JUNCTION_ORGANIZATION",0.000182415176942722,1.99120729190867,"CDH6,GJA5,KIFC3,WHAMM,CDH13,VASP,FBLIM1,PVR,ILK,ACTN4,CADM1,TGFB2,TAOK2,FLNA,ACTB,PARD6G,ACTN1,AMOT,CDH2,PTPRK,DSG2,CTNND1,SRF,ZNF703,RHOA,PRKCI,MPP7,PKP4,CLDN1,CDH8,ACTG1,TLN1,DLG1,RHOC,SORBS1,MPP5,LIMS2,ARHGEF7,CD151,VCL,NF2,CDH15,FERMT2,ITGA5,TNS1,PKP3,DSP,NLGN4X,MYADM,HNF4A,XIRP2,CDH4,CTTN,DLC1,PIP5K1C,ACTN2,CDC42,GJB2,APC,PDPK1,CCM2,CDH3,TRIP6,HIPK1,THY1,RAB8B,GJA4,NUMBL,FSCN1,CNTNAP1,MARVELD2,ITGB1,PTPRO,ITGA2,MICALL2,JUP,GJC1,RHOD,HEG1"
