"pathway","pvalue","NES","genes"
"KEGG_PROTEASOME",0.000189825360668185,2.05199604703328,"POMP,PSMD8,PSMD11,PSMC1,PSME4,PSMB6,PSMD6,PSMC4,PSMC2,PSMD2,PSMB4,PSMA7,PSMD7,PSMA1,PSMA5,PSMD1,PSMB7,PSMD13,PSMD12,PSMD14,PSMB10,PSMD3,PSMC6,PSMB5"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.000190114068441065,1.96238985467303,"ARPC2,EZR,ACTB,ARPC4,ARPC5,KRT18,RHOA,NCK2,ARPC5L,CLDN1,ARPC1B,ACTG1,ARPC3,TLR4,TUBB2A,TLR5,TUBA1A,CTTN,ROCK1,CDC42,YWHAZ,TUBA3D,TUBB6,ITGB1,TUBB4A"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.000179243592041585,1.90008345566513,"PDGFA,ARPC2,MYL12B,MYL12A,ACTN4,FGF1,MYL9,EZR,MYH9,FGF14,MYLK,ACTB,CYFIP2,LIMK2,ITGA3,ARPC4,PIP4K2C,PIK3CB,ACTN1,ARPC5,ITGA7,EGF,ABI2,TMSB4X,ITGA4,RHOA,APC2,ARPC5L,ARPC1B,ACTG1,BCAR1,FGF5,PFN1,RAF1,ARPC3,PIK3R2,SSH2,PTK2,ARHGEF7,VCL,RAC3,CFL1,BAIAP2,IQGAP1,ITGA5,RRAS2,MYL5,SLC9A1,BRK1,PFN2,CFL2,ARHGEF1,PPP1CA,PAK3,CRK,MSN,PIP5K1C,ACTN2,SOS2,ROCK1,CDC42,ITGA1,CHRM2,APC,GSN,PDGFC,ITGB1,ITGB5,PIK3R3,NCKAP1,ITGA2,DIAPH1,FGF20,ITGAE,TIAM2,GNA13,HRAS,BDKRB1,ARAF,NCKAP1L,BRAF,CRKL,ITGA6,ITGAX"
"KEGG_STEROID_BIOSYNTHESIS",0.00194779898714453,1.89728711869193,"DHCR7,MSMO1,DHCR24,EBP,CYP51A1,SOAT1,CYP27B1,TM7SF2,SQLE,NSDHL,FDFT1"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.000950209045990118,1.89457355531187,"B3GALT2,B4GALT3,FUT1,ST3GAL6,B3GALT5,B3GNT2,B3GNT5,FUT4,FUT9,B3GALT1,ST8SIA1,ST3GAL3"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.000567429544164933,1.79769872093877,"ATP6V0D1,ATP6V1D,ACTB,ATP6V0C,ATP6V1H,ATP6V0A1,ATP6V0B,ATP6V0E2,ACTG1,ATP6V1E1,ATP6V1B2,PRKACB,ATP6V1F,ATP6V0A2,SEC61G,ATP6V1A,SEC61B,ATP6V1G1,PRKACA,PLCG1,ARF1,ATP6V1C2,ATP6AP1"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.00585251658213032,1.78471009735631,"DHDDS,IDI1,HMGCR,MVD,ACAT2,IDI2,FDPS,PMVK,HMGCS1,MVK"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.00172347759479127,1.76874644341996,"STX11,STX12,STX4,STX6,STX1B,GOSR2,VAMP2,VAMP8,YKT6,STX3,STX2,VAMP3,VAMP7,SNAP23"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.000735294117647059,1.7356165385909,"ACTA2,ACTG2,KCNMB1,MYL6,MYL9,PPP1R14A,MYLK,AVPR1A,GNA11,PLCB4,AGTR1,ADRA1B,RHOA,CALM1,ADCY5,GNAQ,MYH11,CALM2,PRKCD,CALD1,RAF1,PLCB3,PRKACB,MRVI1,PRKCQ,ADCY8,ARHGEF1,PLA2G4B,PPP1CA,ROCK1,PLA2G4E,PRKACA,ADCY7,ADCY6,CYP4A11,KCNMB4,PLA2G2C,GNA13,ARAF,RAMP1"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.000923361034164358,1.70362292554295,"ESAM,VASP,MYL12B,MYL12A,ACTN4,MYL9,EZR,ACTB,SIPA1,RAP1B,PIK3CB,ACTN1,CTNND1,ITGA4,RHOA,CLDN1,ACTG1,BCAR1,PIK3R2,PTK2,VCL,MAPK12,CLDN20,GNAI2,MYL5,CYBA,MAPK11,RAPGEF3,MSN,ACTN2,ROCK1,CDC42,CXCR4,THY1,CXCL12,ICAM1,ARHGAP5,ITGB1,PIK3R3,CLDN14"
