"pathway","pvalue","NES","genes"
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",0.00019387359441644,2.42933619934927,"ACTA2,ACTG2,LMOD1,MYL6,MYL12B,MYL9,MYLK,TPM1,TPM4,CALM1,MYH11,TLN1,CALM2,CALD1,SORBS1,SORBS3,VCL,TPM3,ITGA1"
"REACTOME_MUSCLE_CONTRACTION",0.000189753320683112,2.40399936329611,"ACTA2,ACTG2,LMOD1,MYL6,DMD,MYL12B,MYL9,MYLK,TPM1,TPM4,MYL4,MYH8,CALM1,MYH11,TLN1,CALM2,CALD1,SORBS1,SORBS3,VCL,TPM3,TNNC1,ACTN2,ITGA1,TMOD1"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.000195694716242661,2.17166989789164,"DHCR7,MSMO1,DHCR24,EBP,CYP51A1,IDI1,HMGCR,MVD,IDI2,FDPS,TM7SF2,SQLE,NSDHL,FDFT1,PMVK,HMGCS1"
"REACTOME_CELL_CELL_COMMUNICATION",0.000184672206832872,2.08341499292782,"CDH6,CDH13,VASP,FBLIM1,PVR,ILK,ACTN4,CD2AP,DSCAM,CADM1,KIRREL3,PARD6G,PIK3CB,ACTN1,CDH2,CTNND1,SPTAN1,PRKCI,NCK2,CLDN12,RSU1,CLDN1,CDH8,PIK3R2,MPP5,PTK2,CD151,MAPK12,CDH15,CLDN20,FERMT2,TESK1,IQGAP1,MAPK11,CDH4,PARVA,GRB2,ACTN2,MAPK8"
"REACTOME_CELL_JUNCTION_ORGANIZATION",0.000187265917602996,2.016644075626,"CDH6,CDH13,VASP,FBLIM1,PVR,ILK,CADM1,PARD6G,ACTN1,CDH2,CTNND1,PRKCI,CLDN12,RSU1,CLDN1,CDH8,MPP5,CD151,CDH15,CLDN20,FERMT2,TESK1,CDH4,PARVA"
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",0.000194325689856199,1.98569062708334,"MYL6,MYL12B,MYL9,MYH9,LIMK2,RHOA,MYH11,RHOC,ERBB2,RHOB,ROCK1,CDC42"
"REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",0.000189825360668185,1.98430606950655,"PSMD8,PSMD11,PSMC1,PSME4,PSMB6,PSMD6,PSMC4,PSMC2,PSMD2,PSMB4,PSMA7,PSMD7,PSMA1,PSMA5,PSMD1,PSMB7,PSMD13,PSMD12,AZIN1,PSMD14,PSMB10,PSMD3,PSMC6,PSMB5,OAZ1,PSMC3,PSMB8,ODC1,PSMC5,OAZ2,PSMA4,PSMB1"
"REACTOME_BOTULINUM_NEUROTOXICITY",0.000788177339901478,1.96395979887802,"SYT1,STX11,STX12,STX4,STX6,STX1B,VAMP2,STX3,STX2"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",0.000378071833648393,1.94141864538348,"PSMD8,PSMD11,PSMC1,PSME4,PSMB6,PSMD6,PSMC4,PSMC2,PSMD2,PSMB4,FCGR1B,PSMA7,PSMD7,PSMA1,PSMA5,PSMD1,PSMB7,PSMD13,PSMD12,PSMD14,PSMB10,PSMD3,PSMC6,PSMB5,MRC1,PSMC3,PSMB8,FCGR1A,PSMC5,PSMA4,PSMB1"
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",0.000779727095516569,1.93452326321106,"TRPC6,RASGRP2,DGKA,DAGLA,PRKCD,DGKI,DGKE,DGKQ,TRPC3,PRKCQ,DGKH,DAGLB,MGLL,DGKB"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.000591599290080852,1.92805468760752,"VASP,FBLIM1,ILK,ACTN1,RSU1,FERMT2,TESK1,PARVA,ITGB1"
"REACTOME_SIGNAL_AMPLIFICATION",0.000969555943377933,1.89642396301008,"P2RY1,TBXA2R,GNB1,GNA11,GNA14,GNAQ,GNG13,GNB2,GNAI2,GNB3,GNG4"
"REACTOME_LYSOSOME_VESICLE_BIOGENESIS",0.00135711516091508,1.89302641673405,"DNAJC6,VAMP2,AP1B1,CTSZ,VAMP8,CLTA,CLTC,M6PR,AP1M1,VAMP7,ARF1,SH3GL2,HSPA8,AP1M2,AP1G1"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY1",0.000971628449280995,1.89180436351862,"P2RY1,GNB1,GNA11,GNA14,GNAQ,GNG13,GNB2,GNB3,GNG4"
