"pathway","pvalue","NES","genes"
"HALLMARK_MYC_TARGETS_V1",0.000391083300743058,2.1547425354513,"GOT2,PSMD3,ORC2,TRIM28,SF3A1,CCT2,CAD,EIF4H,PWP1,PSMD1,HNRNPA3,EIF4E,HNRNPA1,ODC1,G3BP1,TUFM,PSMA6,TARDBP,PHB2,CCT5,PSMC4,ILF2,MRPL9,RUVBL2,PRPF31,NOP56,MRPS18B,HNRNPU,CDC20,PSMA1,SET,NOP16,CCT3,RPL18,PSMA7,PSMD14,SNRPA1,CSTF2,CANX,APEX1,C1QBP,TRA2B,HNRNPA2B1,CYC1,CBX3,EIF4A1,NOLC1,NME1,CCT4,SYNCRIP,SRSF1,NHP2,PSMA4,NCBP2,EIF1AX,PRDX3,PSMD7,XPO1,RRP9,NPM1,NDUFAB1,PSMA2,SRSF3,YWHAQ,XRCC6,NAP1L1,KARS,GSPT1,TCP1,RPS10,SNRPD3,PSMB2,RPS3,HSP90AB1,RPL6,HPRT1,VBP1,HSPD1,RSL1D1,SNRPB2,SNRPA,SSBP1,H2AFZ,PRPS2,PCBP1,RPLP0,CCT7,HNRNPR,EIF3B,KPNA2,CDK4,RPS5,ERH,SRSF7,PSMC6"
"HALLMARK_MYC_TARGETS_V2",0.000277932184546971,2.08842171681594,"RRP12,PES1,EXOSC5,GRWD1,DUSP2,IPO4,FARSA,PPRC1,SLC19A1,NOP56,WDR74,LAS1L,NOP16,SUPV3L1,MYBBP1A,MRTO4,UTP20,CBX3,NOLC1,NIP7,RRP9,NPM1,NDUFAF4,NOC4L,PLK1,NOP2,TFB2M,HSPD1,MPHOSPH10,BYSL,IMP4,CDK4,PRMT3,HSPE1,DCTPP1,PA2G4,SORD,RCL1,UNG,PUS1,PLK4,AIMP2,TMEM97"
"HALLMARK_PANCREAS_BETA_CELLS",0.0453033017660609,1.43973917606559,"PAK3,PCSK1,SST,DPP4,PAX6,NKX6-1,PCSK2,NEUROD1,SEC11A,FOXO1,STXBP1,CHGA,PKLR"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00743058271411811,1.36116275466838,"SAT1,EGR3,NINJ1,CXCL3,IRS2,PHLDA1,IL1A,PTGS2,GEM,CD44,CXCL2,NFKBIA,SQSTM1,ZC3H12A,ICAM1,RELB,SGK1,TNFRSF9,NR4A2,BCL2A1,DUSP2,NAMPT,BMP2,NR4A3,LIF,GFPT2,DRAM1,ID2,TRIB1,IL6,INHBA,PLAUR,NR4A1,IL12B,SLC16A6,IL23A,CCL2,BIRC3,CD83,EGR1,CLCF1,PANX1"
"HALLMARK_G2M_CHECKPOINT",0.017982799061767,1.31680939341205,"RBM14,MT2A,SFPQ,MEIS1,EFNA5,E2F4,ODC1,G3BP1,CHMP1A,CBX1,HIRA,DDX39A,CUL3,PRMT5,PRPF4B,BCL3,TNPO2,CDKN2C,ORC5,HNRNPU,CDC20,HIST1H2BK,HMGB3,BUB1,CENPF,TRA2B,TOP1,NOLC1,ESPL1,TROAP,DTYMK,SYNCRIP,SRSF1,XPO1,PDS5B,CKS2,PLK1,SLC38A1,YTHDC1,HOXC10,DKC1,GSPT1,ODF2,PTTG1,NEK2,CDC7,UPF1,ORC6,MNAT1,INCENP,AMD1,SRSF10,HSPA8,KIF15,H2AFZ,POLE,CCNB2,MKI67,TACC3,KPNA2,CDK4,KIF20B,AURKB,BIRC5,TRAIP,UBE2C,BRCA2,CHAF1A,PBK,KIF23,STIL,LIG3,POLQ,KIF2C,AURKA,RACGAP1,KIF22,SNRPD1,ILF3,HNRNPD,EZH2,NUMA1,SUV39H1"
"HALLMARK_E2F_TARGETS",0.0385214007782101,1.24860913506599,"ORC2,PRKDC,PNN,E2F8,DDX39A,TFRC,CDKN2C,SSRP1,NOP56,CDC20,HMGB3,LYAR,TRA2B,SPAG5,NOLC1,ESPL1,NME1,SYNCRIP,SRSF1,CDCA3,KIF18B,CIT,XPO1,PDS5B,GINS4,CKS2,POP7,PLK1,IPO7,XRCC6,PAN2,NAP1L1,NUDT21,GSPT1,PTTG1,NBN,ORC6,BRCA1,GINS3,H2AFZ,TRIP13,POLE,CCNB2,RPA3,MKI67,CBX5,PHF5A,TIPIN,WDR90,TACC3,KPNA2,CDK4,AURKB,BIRC5,CSE1L,CDCA8,NUP205,BRCA2,AK2,DCTPP1,LUC7L3,KIF2C,AURKA,RACGAP1,KIF22,PA2G4,RRM2,RAN,ILF3,HNRNPD,EZH2,PMS2,SUV39H1,DLGAP5,CENPM,DCK,CHEK2,UBE2T,RAD1,CTCF,STMN1,RFC3,RANBP1,UNG,RFC2,SNRPB,H2AFX,CDC25B,NUP107,PLK4,SRSF2,RAD50,EIF2S1,CKS1B,MCM7,NASP,TUBG1,CENPE,MYC,TBRG4,CDKN3"
"HALLMARK_APICAL_JUNCTION",0.0463137996219282,-1.29158478645963,"PCDH1,RRAS,ACTG2,NRXN2,PARVA,ARHGEF6,NEXN,CDH8,ITGA10,SKAP2,MYL9,SGCE,CD34,VCL,ADAM15,BMP1,ICAM2,PTEN,ITGA3,MYL12B,ITGA9,LDLRAP1,EXOC4,CLDN7,CD99,TRAF1,AMIGO2,SLC30A3,GNAI1,LAMB3,DSC3,LIMA1,DLG1,CTNND1,FBN1,GNAI2,WASL,HADH,TNFRSF11B,ACTN4,ACTB,MYH9,TAOK2,CDH1,SORBS3,VASP,AKT3,ARPC2,ADAMTS5,GRB7,YWHAH,CDH15,PTPRC,ADAM9,SHC1"
"HALLMARK_P53_PATHWAY",0.028267599946157,-1.3347570949864,"F2R,BTG2,CYFIP2,ADA,PDGFA,ATF3,NOTCH1,H2AFJ,DDB2,IFI30,ABHD4,CDK5R1,TM4SF1,ACVR1B,POLH,CDH13,TRAFD1,TM7SF3,KLF4,RPS27L,BAX,VAMP8,S100A4,TPD52L1,ZMAT3,NUPR1,CDKN1A,FAS,STOM,PPM1D,VDR,CEBPA,DEF6,AK1,S100A10,CCNG1,TXNIP,TP53,SLC7A11,MDM2,TAP1,TRIB3,FOXO3,BTG1,PCNA,TRAF4,CD81,GPX2,CGRRF1,PLXNB2,TP63,MXD4,PRMT2,CSRNP2,MKNK2,RAD51C"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0104993942657154,-1.40410806852591,"FOXC1,SLC24A3,CAV1,SIAH2,CXCL12,PRSS23,UGDH,CYP26B1,CKB,ZFP36,RAB31,IGSF1,ADD3,SLC1A4,WISP2,SERPINA3,OPN3,KLF4,MOCS2,FARP1,BLVRB,IL6ST,PDCD4,SERPINA5,ISG20,DYNLT3,TPD52L1,HSPB8,CISH,AFF1,MEST,PAPSS2,TNNC1,MYOF,PLA2G16,SLC29A1,CDC6"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.021187705162638,-1.45441839581936,"CSF1,STAT1,CD36,ACVR1B,ACVRL1,EBI3,IRF1,IL9R,ITGA4,IL4R,IL6ST,ITGB3,PIM1,PLA2G2A,IFNGR1,LEPR,FAS,IFNGR2,SOCS3,TNFRSF1B,IL2RA,CCR1,OSMR,TNF,IL7,IL13RA1,IL3RA,HAX1,CSF2RA"
"HALLMARK_HEME_METABOLISM",0.00364569268160951,-1.47068882475317,"HEBP1,GYPE,OPTN,BTG2,MYL4,ENDOD1,LMO2,ADD1,ALDH1L1,ANK1,NEK7,ASNS,GDE1,NNT,DCUN1D1,RIOK3,BLVRB,BPGM,MARCH2,ARHGEF12,SEC14L1,GYPA,NFE2,YPEL5,SELENBP1,ABCG2,SLC2A1,OSBP2,NUDT4,MKRN1,PICALM,BACH1,BNIP3L,SLC7A11,RAP1GAP,RNF19A,FOXO3,TNS1,TRAK2,DCAF11,FBXO34,AQP3,XK,GAPVD1,BTRC,DCAF10,NFE2L1,ATP6V0A1,FBXO7,SPTB,SDCBP,FBXO9,LRP10,XPO7,MPP1,KHNYN,IGSF3"
"HALLMARK_MITOTIC_SPINDLE",0.00228802153432032,-1.48523586069202,"FGD4,MYO1E,NEDD9,SORBS2,PALLD,GSN,PCGF5,KIFAP3,SPTBN1,PKD2,MID1IP1,WASF2,PLEKHG2,STK38L,VCL,FARP1,ARHGEF11,CDC42EP4,CDC42BPA,ALS2,CDC42EP2,ARHGEF7,ARHGEF12,RANBP9,NOTCH2,ARHGEF2,SEPT9,MAP1S,CCDC88A,RABGAP1,DLG1,MARCKS,CLIP1,RICTOR,ARHGAP10,KIF5B,WASL,RAPGEF5,ARHGAP29,ACTN4,LATS1,MYH9,TAOK2,ARHGAP5,NIN,ARL8A,FLNA,ROCK1,RALBP1,KATNA1,PDLIM5,TIAM1,PREX1,CDC42EP1,CTTN"
"HALLMARK_APOPTOSIS",0.00439923013472642,-1.49720498331782,"F2R,BTG2,NEDD9,CAV1,CDKN1B,KRT18,GSN,ATF3,ADD1,PLAT,GPX3,PDGFRB,TGFBR3,IRF1,DCN,TGFB2,BAX,BCL2L1,PDCD4,ISG20,BGN,DAP,CASP9,IFNGR1,HSPB1,CDKN1A,EREG,FAS,LGALS3,PEA15,PSEN1,EMP1,CASP7,RARA,BNIP3L,TXNIP,PPP3R1,TAP1,BID,MADD,ERBB3,GSR,WEE1,IFITM3,DNM1L,LMNA,TNF,ROCK1,HGF"
"HALLMARK_HYPOXIA",0.000675128274372131,-1.60920672062057,"TES,CAV1,SIAH2,CDKN1B,SDC2,CTGF,AKAP12,ATF3,TPST2,ADORA2B,ZFP36,ADM,TNFAIP3,WISP2,MAP3K1,AK4,ZNF292,DCN,STC2,EXT1,ISG20,TGM2,S100A4,BGN,PIM1,NDST1,CDKN1A,SLC6A6,MAFF,XPNPEP1,HDLBP,STBD1,SELENBP1,SLC2A1,GPC1,PDK1,DTNA,SLC2A3,TMEM45A,B3GALT6,ATP7A,IDS,BNIP3L,HAS1,FOXO3,BTG1,KDELR3,FOSL2,CITED2,ETS1,RORA,MYH9,PLIN2,PYGM"
"HALLMARK_UV_RESPONSE_DN",0.000421585160202361,-1.68866264747089,"KIT,CAV1,FHL2,CDKN1B,LAMC1,SDC2,MAP1B,ADORA2B,LPAR1,RGS4,SNAI2,FZD2,ADD3,PDGFRB,NEK7,ARHGEF9,TGFBR3,TFPI,SMAD3,PPARG,ATP2C1,ANXA4,CAP2,PLCB4,CDC42BPA,PTEN,PMP22,GRK5,RBPMS,ITGB3,NOTCH2,DDAH1,LTBP1,DLC1,DLG1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000403659849300323,-1.69341990898128,"FOXC1,SLC24A3,RASGRP1,FHL2,SIAH2,KRT8,ENDOD1,CXCL12,PRSS23,SVIL,SLC37A1,KRT18,CYP26B1,DEPTOR,KAZN,RAB31,ADD3,UGCG,SLC7A2,SLC1A4,WISP2,OPN3,KLF4,STC2,FARP1,BLVRB,SLC1A1,IL6ST,TGM2,ZNF185,DYNLT3,TPD52L1,HSPB8,CISH,AFF1,ELOVL2,PAPSS2,CLDN7,MYOF,PLA2G16,SLC2A1,HES1,P2RY2,GAB2,DLC1,RARA"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000268636668905306,-1.70424650886641,"PTX3,FOXC2,COL4A2,SNTB1,MGP,ACTA2,LAMC1,CXCL12,CALD1,ABI3BP,FERMT2,CTGF,COL4A1,ECM2,IGFBP2,ITGAV,CD59,RGS4,SNAI2,FSTL1,PDGFRB,TNFAIP3,TGFBR3,COL5A3,TAGLN,GLIPR1,MYL9,ITGB5,MYLK,DCN,BMP1,CAP2,TGM2,FBLN2,PMP22,BGN,CALU,ITGB3,MEST,PLOD1,ECM1,FAS,NID2,POSTN,NOTCH2,EFEMP2,GPC1,LOXL2,ITGA5,SPARC,SLIT3,WIPF1,FN1,MFAP5,TPM4,ELN,EDIL3,SERPINH1,FBN1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000134553283100108,-1.74962458277334,"APOL6,STAT1,IFIT2,IFIT3,NCOA3,STAT4,BANK1,MTHFD2,CMKLR1,ARID5B,NMI,TNFAIP3,IFI30,EIF2AK2,P2RY14,PSME1,ISG15,TRAFD1,IRF1,SLAMF7,LATS2,BST2,PSMB10,IL4R,VAMP8,PSME2,ISG20,PARP12,BPGM,DDX58,PIM1,NOD1,B2M,CDKN1A,OASL,GBP4,NLRC5,FAS,VAMP5,BATF2,CD40,PARP14,WARS,SAMD9L,CASP7,TRIM25,DDX60,RBCK1,SOCS3,TXNIP,TAP1,BTG1,SECTM1,SRI,SPPL2A,PSMB9,METTL7B,IFITM3,PLSCR1,PSMB8,LGALS3BP"
"HALLMARK_PROTEIN_SECRETION",0.000293083235638921,-1.76296321515987,"KRT18,SEC22B,CAV2,AP2S1,ARFGEF2,SEC24D,GOLGA4,VAMP7,SEC31A,VPS45,ARFGAP3,STX12,AP3S1,OCRL,SGMS1,AP3B1,ATP7A,TOM1L1,SNAP23,ATP6V1B1,CD63,COPB1,DNM1L,ARCN1,TSPAN8,STX7,AP2B1,NAPG,ADAM10,ARFIP1,GOSR2,RAB2A,ATP1A1,MAPK1,CLCN3,GNAS,ICA1,NAPA,LAMP2,RAB5A,SCAMP1"
"HALLMARK_MYOGENESIS",0.000134607618791224,-1.85868436284349,"FHL1,COX7A1,CRYAB,COL4A2,MYL4,FABP3,SOD3,TNNT3,CFD,LDB3,SVIL,GSN,DMD,CKB,IGFBP7,CHRNA1,MYH11,NOTCH1,CD36,GPX3,ITGA7,HSPB2,TAGLN,MEF2C,CACNA1H,ITGB5,LSP1,CDH13,MYLK,HRC,GJA5,STC2,APOD,SIRT2,DMPK,TPD52L1,WWTR1,HSPB8,CDKN1A,TNNC1,GNAO1,DTNA,RIT1,FXYD1,SPARC,AK1,CKM,SGCA,SYNGR2,TNNT2,KCNH1,MYL3,ERBB3,ST5,MYH9,SLN,PYGM,TEAD4,CHRNB1,SORBS3,PLXNB2,COL6A2,MEF2A,ADCY9,HDAC5,MEF2D"
"HALLMARK_NOTCH_SIGNALING",0.000329055610398157,-2.00952859297997,"HEYL,JAG1,NOTCH3,NOTCH1,MAML2,ARRB1,WNT2,DTX4,FBXW11,NOTCH2,HES1,FZD7,WNT5A,FZD5,LFNG"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000146886016451234,-2.13101439509624,"CSF1,IFIT2,IFIT3,NMI,NCOA7,IFI30,EIF2AK2,PSME1,ISG15,TRAFD1,IRF1,PARP9,BST2,IL4R,UBA7,PSME2,ISG20,PARP12,TRIM5,SAMD9,B2M,OASL,GBP4,NUB1,BATF2,SELL,CCRL2,PARP14,WARS,SAMD9L,TRIM25,DDX60,TXNIP,TAP1,MOV10,PSMB9,IFITM3,PLSCR1,PSMB8,LGALS3BP,IL7,ELF1"
