"pathway","pvalue","NES","genes"
"KEGG_SPLICEOSOME",0.000334112930170398,2.08638011576724,"SNRNP200,TRA2A,SF3A1,U2AF2,HSPA6,HNRNPA3,CHERP,PRPF8,HNRNPA1,SART1,MAGOH,PRPF6,SRSF4,RBM22,RBMX,PRPF31,DDX23,HNRNPU,SYF2,DHX38,PPIE,SNRPA1,PRPF3,PRPF4,THOC1,TRA2B,HNRNPA1L2,THOC3,SF3B2,BCAS2,DDX46,SRSF1,NCBP2,HNRNPM,SRSF5,SRSF3,U2SURP,SF3B4,SNRPE,SNRPD3,SRSF9,EFTUD2,SNRPB2,SNRPA,ACIN1,SRSF10,XAB2,CCDC12,HSPA8,PCBP1,ZMAT2,PHF5A,CTNNBL1,SRSF7,EIF4A3,SRSF6,DHX15,SNRPC,SNW1,SNRPD1,CDC40,HSPA1L,PUF60,LSM5,NCBP1,CRNKL1,SNRPG,DHX8,SF3A3,RBM25,SNRPB"
"KEGG_PROTEASOME",0.00105513057240834,1.81731924870515,"PSMD3,PSMB1,PSMD2,PSMB7,PSMD1,PSMD4,PSMD13,PSMC5,PSMB4,PSMA6,PSMC4,PSMC1,PSMA1,PSMC2,PSMD6,PSMA7,PSMD14,PSMD12,PSMB6,PSMA4,PSMD7,PSMA2"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.039863624442696,1.44887845421711,"IRS2,NR3C2,ATP1B3,ATP1A3,SGK1,PIK3CD,IGF1,PRKCG,HSD11B2,ATP1A4,ATP1A2"
"KEGG_WNT_SIGNALING_PATHWAY",0.0367575122292103,-1.3329567109227,"DAAM2,WNT2B,TCF7L1,FZD4,FZD2,ROCK2,SMAD3,LRP6,SIAH1,WNT16,AXIN1,PLCB4,WNT2,SMAD4,FBXW11,RHOA,NFATC4,PSEN1,PPP3CB,NFATC3,PPP3CC,FZD7,CAMK2D,SENP2,TP53,PPP3R1,WNT5A,PLCB3,TBL1XR1,CTNNBIP1,MAP3K7,DVL3,ROCK1,BTRC,WNT4,CTBP2,FZD5,PPP2R5A"
"KEGG_P53_SIGNALING_PATHWAY",0.0488028061613543,-1.36889360356192,"DDB2,RRM2B,SIAH1,BAX,BBC3,PTEN,ZMAT3,CASP9,CDKN1A,FAS,PPM1D,CCNE1,CCNB3,CCNG1,TP53,MDM2,BID,CDK6,SESN2,TNFRSF10B,THBS1,CASP3,SESN1,CDK2"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.0378272053260705,-1.38931150157007,"COX7A1,CACNA2D4,COX4I2,CACNB4,SLC8A1,COX7B,UQCR11,CACNB1,TNNC1,CACNA2D1,TPM4,COX2,COX6A1,TNNT2,ATP1B4,MYL3,COX7C,ATP1A1,UQCRFS1,UQCRC2,COX7A2,SLC9A6,COX6B1,COX8A,ATP1B2,CACNG6,UQCRB,TPM1,COX5A"
"KEGG_MELANOGENESIS",0.028919553728714,-1.40638763734514,"GNAQ,KIT,MAPK3,WNT2B,ADCY4,TCF7L1,FZD4,EDN1,FZD2,WNT16,PLCB4,WNT2,KITLG,CREB1,GNAO1,GNAI1,FZD7,CAMK2D,GNAI2,CREB3L1,WNT5A,PLCB3,DVL3,CALM1,ADCY9,WNT4,FZD5"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.0285159749178859,-1.40945321274377,"MAPK3,GDF6,ROCK2,BMP8B,SMAD3,ACVR1,ACVRL1,GDF5,DCN,TGFB2,SMAD4,SMURF1,RHOA,LTBP1,TGFBR1,RPS6KB1,RPS6KB2,ACVR2B,ACVR1C,TNF,ROCK1,BMP5,SMAD2,BMP4,MAPK1,PPP2R1A,THBS1,INHBC,BMPR1A,NODAL,SMAD6,CDKN2B,RBL2"
"KEGG_PATHWAYS_IN_CANCER",0.00151095441954168,-1.44245228969381,"KIT,COL4A2,MAPK3,PTCH1,WNT2B,STAT1,TCF7L1,CDKN1B,LAMC1,HHIP,PDGFA,FZD4,COL4A1,ITGAV,LAMA5,SOS2,FZD2,PDGFRB,SMAD3,PPARG,FGF1,FH,GLI2,WNT16,FLT3LG,TGFB2,AXIN1,BAX,BCL2L1,FGF14,PTEN,ITGA3,WNT2,SMAD4,CASP9,IKBKB,CDKN1A,KITLG,FAS,SKP2,LAMB2,RHOA,TRAF1,RARB,SLC2A1,TRAF5,CCNE1,LAMB3,MAX,CEBPA,FN1,RARA,EPAS1,FZD7,RASSF1,TGFBR1,TP53,MMP1,AKT1,MDM2,BID,TRAF4,DCC,LAMB1,WNT5A,ETS1,CDH1,CBLB,STAT5A,RAD51,DVL3,AKT3,FGF5,HGF,CDK6,IGF1R,WNT4,CTBP2,RALBP1,FZD5,HIF1A,CRKL,CSF2RA,SMAD2,LAMA2,BMP4,PML,PIK3CB,MAPK1,E2F3,MSH3"
"KEGG_COLORECTAL_CANCER",0.0227202947497697,-1.46142559681267,"MAPK3,TCF7L1,SMAD3,TGFB2,AXIN1,BAX,SMAD4,CASP9,RHOA,TGFBR1,TP53,AKT1,DCC,AKT3,SMAD2,PIK3CB,MAPK1,MSH3,CASP3"
"KEGG_PANCREATIC_CANCER",0.0197718631178707,-1.46175528291666,"MAPK3,STAT1,ARHGEF6,SMAD3,TGFB2,BCL2L1,SMAD4,CASP9,IKBKB,TGFBR1,TP53,AKT1,RAD51,AKT3,CDK6,RALBP1,SMAD2,PIK3CB,MAPK1,E2F3,VEGFB,RAC1,CDC42,STAT3,BRAF,ERBB2"
"KEGG_BASAL_CELL_CARCINOMA",0.0272513703993735,-1.46683615683439,"PTCH1,WNT2B,TCF7L1,HHIP,FZD4,FZD2,GLI2,WNT16,AXIN1,WNT2,FZD7,TP53,WNT5A,DVL3,WNT4,FZD5"
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.0175518232712967,-1.47103732402659,"MAPK3,CDKN1B,SOS2,SMAD3,TGFB2,BCL2L1,SMAD4,IKBKB,CDKN1A,GAB2,TGFBR1,TP53,AKT1,MDM2,CBLB,STAT5A,AKT3,CDK6,CTBP2,CRKL,SHC1,PIK3CB,MAPK1,E2F3"
"KEGG_ENDOCYTOSIS",0.00398899587345255,-1.50872581313698,"KIT,F2R,EPS15,ACAP2,RAB31,AP2S1,ARRB1,RNF41,DNAJC6,STAMBP,RAB5B,VPS37A,ITCH,PIKFYVE,GRK5,FLT1,SMURF1,LDLRAP1,RAB11FIP2,ERBB4,VPS45,ARFGAP3,ADRB2,CHMP4A,ARRB2,HSPA2,GRK6,SH3GLB1,EPN2,CLTB,DNM2,PDCD6IP,MDM2,HLA-F,IL2RA,ERBB3,RUFY1,CHMP4B,AP2A1,SH3GL1,CBLB,DNM1L,RAB5C,IGF1R,PIP5K1A,PSD2,AP2B1,ASAP2,ASAP1,RAB11FIP4,EHD1,CHMP4C,EEA1,PARD6A,EHD2,ADRB3,HLA-C,EHD3,SMAP2,CHMP2B,CLTCL1,SMAP1,RAB5A,CDC42,PSD3"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.0299159663865546,-1.54305858454036,"MAPK3,NOTCH3,NOTCH1,SOS2,FMN2,SPIRE1,NOTCH2"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.00635497049477985,-1.56618357918464,"TCF7L1,ITGA1,DSP,DMD,ITGAV,ITGA7,CACNA2D4,ITGA10,ITGB5,ITGA8,CACNB4,ITGA4,ITGA3,ITGA9,ITGB3,SLC8A1,CACNB1,ITGA11,ITGA5,CACNA2D1,SGCA"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.0043859649122807,-1.58711729463462,"KIT,GP1BB,CSF1,ITGA1,CD4,CD36,CD59,CD34,CD22,IL9R,ITGA4,FLT3LG,IL4R,ITGA3,ITGB3,IL11RA,GYPA,KITLG,ITGA5,IL6R,GP5"
"KEGG_DILATED_CARDIOMYOPATHY",0.00179157957599283,-1.63974959315818,"ADCY4,ITGA1,DMD,ITGAV,ITGA7,CACNA2D4,ITGA10,ITGB5,ITGA8,CACNB4,ITGA4,TGFB2,ITGA3,ITGA9,ITGB3,SLC8A1,CACNB1,TNNC1,ITGA11,ITGA5,CACNA2D1,TPM4,SGCA,TNNT2,MYL3,ACTB,LMNA,TNF,ADCY9,ADCY1,PRKACB,LAMA2"
"KEGG_SMALL_CELL_LUNG_CANCER",0.00179533213644524,-1.64135025001714,"COL4A2,CDKN1B,LAMC1,COL4A1,ITGAV,LAMA5,BCL2L1,PTEN,ITGA3,CASP9,IKBKB,SKP2,LAMB2,TRAF1,RARB,TRAF5,CCNE1,LAMB3,MAX,FN1,TP53,AKT1,TRAF4,LAMB1"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.000134156157767642,-1.6557254957503,"F2R,MAPK3,CYFIP2,ITGA1,RRAS,PDGFA,GSN,ARHGEF6,ARHGAP35,ITGAV,SOS2,ITGA7,PDGFRB,ROCK2,ITGA10,CFL2,MYL9,ITGB5,WASF2,PPP1R12A,FGF1,MYLK,ITGA8,VCL,TIAM2,ITGA4,FGF14,NCKAP1,ITGA3,PIKFYVE,MYL12A,MYL12B,ITGA9,ENAH,ITGB3,ARHGEF7,ARHGEF12,BRK1,SCIN,SSH1,RHOA,ITGA11,ITGA5,WAS,PFN4,FN1,ITGAL,DOCK1,CSK,WASL,ACTN4,GNA12,ACTB,MYH9,ARPC2,FGF5,ROCK1,PIP5K1A,ABI2,DIAPH2"
"KEGG_FOCAL_ADHESION",0.000134752728742757,-1.80502366173746,"COL4A2,MAPK3,CAV1,ITGA1,LAMC1,RELN,PDGFA,COL4A1,PARVA,CAV2,ARHGAP35,ITGAV,LAMA5,SOS2,ITGA7,PDGFRB,ROCK2,ITGA10,COL5A3,MYL9,ITGB5,PPP1R12A,MYLK,ITGA8,VCL,ITGA4,PTEN,RAP1B,ITGA3,MYL12A,MYL12B,ITGA9,FLT1,ITGB3,RASGRF1,LAMB2,CHAD,RHOA,LAMB3,ITGA11,ITGA5,RAPGEF1,FN1,DOCK1,AKT1,COL6A1,PARVB,ILK,LAMB1,ACTN4,FYN,ACTB,ARHGAP5,COL5A1,COL6A2,VASP,AKT3,FLNA,ROCK1,HGF,IGF1R"
"KEGG_ECM_RECEPTOR_INTERACTION",0.000149611011370437,-1.89037176286931,"GP1BB,COL4A2,ITGA1,LAMC1,SDC2,RELN,COL4A1,ITGAV,LAMA5,CD36,ITGA7,ITGA10,COL5A3,ITGB5,ITGA8,ITGA4,ITGA3,ITGA9,ITGB3,LAMB2,CHAD,LAMB3,ITGA11,ITGA5,GP5,FN1"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.000150738619234248,-1.90887184583574,"ITGA1,DMD,ITGAV,ITGA7,CACNA2D4,ITGA10,ITGB5,PRKAG2,ITGA8,CACNB4,ITGA4,TGFB2,PRKAB2,ITGA3,ITGA9,ITGB3,SLC8A1,CACNB1,TNNC1,ITGA11,ITGA5,CACNA2D1,PRKAA1,TPM4,SGCA,PRKAA2,TNNT2,MYL3,ACTB,LMNA,TNF"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.000145475705557172,-1.9406269740145,"GNAQ,PPP1R14A,PRKG1,ADRA1D,MAPK3,ADCY4,ACTA2,PTGIR,CALD1,KCNMB1,ACTG2,ADORA2B,MYH11,ROCK2,MRVI1,ADORA2A,MYL9,PPP1R12A,MYLK,ARHGEF11,PLCB4,MYL6,ITPR2,PRKCH,PLA2G2A,ARHGEF12,PLA2G12A,RHOA"
