"pathway","pvalue","NES","genes"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",0.000348675034867503,2.36352001951854,"FUS,SNRNP200,SRRM1,CPSF3,CCAR1,SF3A1,U2AF2,HNRNPA3,EIF4E,RANBP2,PRPF8,NUP35,POLR2B,HNRNPA1,MAGOH,PRPF6,POM121,NXF1,SRSF4,RBMX,TPR,PABPN1,DDX23,HNRNPU,POLR2C,DHX38,DHX9,HNRNPH1,SNRPA1,CPSF1,CSTF2,CPSF7,GTF2F2,POLR2A,PRPF4,HNRNPA2B1,SF3B2,NUP214,SRSF1,RAE1,DNAJC8,NCBP2,HNRNPL,HNRNPM,METTL3,SRSF5,PAPOLA,SRSF3,POLR2E,SF3B4,NUDT21,SNRPE,SNRPD3,SRSF9,AAAS,EFTUD2,SNRPB2,SNRPA,PCBP2,NUP188,PCBP1,HNRNPR,PHF5A,SRSF7,SRSF6,NUP54,HNRNPUL1,NUP37,NUP205,POLR2K,HNRNPA0,POLR2F,GTF2F1,SNRPD1,NUP133,HNRNPD,CDC40,NUP155,NUP93"
"REACTOME_MRNA_SPLICING",0.00032123353678124,2.33953150695333,"FUS,SNRNP200,SRRM1,CPSF3,CCAR1,SF3A1,U2AF2,HNRNPA3,PRPF8,POLR2B,HNRNPA1,MAGOH,PRPF6,SRSF4,RBMX,PABPN1,DDX23,HNRNPU,POLR2C,DHX38,DHX9,HNRNPH1,SNRPA1,CPSF1,CSTF2,CPSF7,GTF2F2,POLR2A,PRPF4,HNRNPA2B1,SF3B2,SRSF1,DNAJC8,NCBP2,HNRNPL,HNRNPM,SRSF5,PAPOLA,SRSF3,POLR2E,SF3B4,NUDT21,SNRPE,SNRPD3,SRSF9,EFTUD2,SNRPB2,SNRPA,PCBP2,PCBP1,HNRNPR,PHF5A,SRSF7,SRSF6,HNRNPUL1,POLR2K,HNRNPA0,POLR2F,GTF2F1"
"REACTOME_MRNA_PROCESSING",0.000362187613183629,2.18196419244508,"FUS,CCNH,SNRNP200,SRRM1,CPSF3,CCAR1,SF3A1,U2AF2,HNRNPA3,EIF4E,RANBP2,PRPF8,NUP35,POLR2B,HNRNPA1,MAGOH,PRPF6,POM121,NXF1,SRSF4,RBMX,TPR,PABPN1,DDX23,HNRNPU,POLR2C,DHX38,DHX9,HNRNPH1,SNRPA1,CPSF1,CSTF2,CPSF7,GTF2F2,POLR2A,PRPF4,HNRNPA2B1,SF3B2,NUP214,SRSF1,RAE1,DNAJC8,NCBP2,HNRNPL,HNRNPM,METTL3,SRSF5,PAPOLA,SRSF3,POLR2E,SF3B4,NUDT21,SNRPE,SNRPD3,SRSF9,AAAS,EFTUD2,MNAT1,SNRPB2,SNRPA,PCBP2,NUP188,PCBP1,HNRNPR,PHF5A,SRSF7,SRSF6,NUP54,HNRNPUL1,NUP37,NUP205,POLR2K,HNRNPA0,POLR2F,GTF2F1,SNRPD1,NUP133,HNRNPD,CDC40,NUP155,NUP93"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",0.000273224043715847,2.05762138132792,"SRRM1,CPSF3,U2AF2,EIF4E,RANBP2,NUP35,MAGOH,POM121,NXF1,SRSF4,TPR,DHX38,CPSF1,NUP214,SRSF1,RAE1,NCBP2,SRSF5,SRSF3,SRSF9,AAAS,NUP188,SRSF7,SRSF6,NUP54,NUP37,NUP205,NUP133,CDC40,NUP155,NUP93,NCBP1,NUP62,NUP107,SRSF2,U2AF1,NUP43"
"REACTOME_MRNA_3_END_PROCESSING",0.000252844500632111,2.01883492132543,"SRRM1,CPSF3,U2AF2,MAGOH,SRSF4,PABPN1,DHX38,CPSF1,CSTF2,CPSF7,SRSF1,NCBP2,SRSF5,PAPOLA,SRSF3,NUDT21,SRSF9,SRSF7,SRSF6"
"REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT",0.00126454223571067,1.88457900271096,"CPSF3,EIF4E,RANBP2,NUP35,POM121,NXF1,TPR,CPSF1,NUP214,RAE1,NCBP2,AAAS,NUP188,NUP54,NUP37,NUP205,NUP133,NUP155,NUP93,NCBP1,NUP62,NUP107,NUP43,NUP210"
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.000284656988329063,1.87013128879567,"PSMD3,PSMB1,PSMD2,PSMB7,PSMD1,PSMD4,PSMD13,PSMC5,PSMB4,ANAPC7,PSMA6,CDC26,PSMC4,PSMC1,CDC20,PSMA1,PSMC2,PSMD6,PSMA7,PSMD14,UBE2D1,ANAPC4,PSMD12,PSMB6,PSMA4,PSMD7,CCNB1,PSMA2"
"REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C",0.00110619469026549,1.86446252725476,"PSMD3,PSMB1,PSMD2,PSMB7,PSMD1,PSMD4,PSMD13,PSMC5,PSMB4,ANAPC7,PSMA6,CDC26,PSMC4,PSMC1,PSMA1,PSMC2,PSMD6,PSMA7,PSMD14,UBE2D1,ANAPC4,PSMD12,PSMB6,PSMA4,PSMD7,PSMA2"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",0.000806234883095942,1.85627581117376,"PSMD3,PSMB1,PSMD2,PSMB7,PSMD1,PSMD4,PSMD13,PSMC5,PSMB4,PSMA6,PSMC4,FCGR1B,PSMC1,PSMA1,PSMC2,PSMD6,PSMA7,PSMD14,PSMD12,PSMB6,PSMA4,PSMD7,PSMA2"
"REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",0.00162030785849311,1.84418843622664,"PSMD3,PSMB1,PSMD2,PSMB7,PSMD1,PSMD4,PSMD13,ODC1,PSMC5,PSMB4,PSMA6,PSMC4,PSMC1,PSMA1,PSMC2,PSMD6,PSMA7,PSMD14,PSMD12,PSMB6,PSMA4,PSMD7,PSMA2"
