"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"169","ENSG00000122375","OPN4","10",86654547,86666848,"opsin 4 [Source:HGNC Symbol;Acc:HGNC:14449]",3.66934799915889,19.4116229779063,2.97472814705968,6.52551158232507,6.77698206171226e-11,1.23547299274596e-06,0.402582378477367
"386","ENSG00000166342","NETO1","18",72742314,72868146,"neuropilin and tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:13823]",5.94749347664864,4.73379908765723,0.973684506870192,4.86173812385445,1.1635949484006e-06,0.000864456822325186,0.402582378477367
"400","ENSG00000168505","GBX2","2",236165236,236168386,"gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]",29.7628195772652,4.43922007653215,0.962758430304683,4.61093867038617,4.00854797043392e-06,0.000964666426821228,1.16143969896587
"168","ENSG00000120937","NPPB","1",11857464,11858945,"natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]",88.4351861910259,4.28129462286325,0.640418425300619,6.6851521657166,2.30684819275312e-11,2.91543945221401e-07,1.16143969896587
"224","ENSG00000135312","HTR1B","6",77461753,77463773,"5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]",11.5717914340565,4.17878881358699,0.821837199405397,5.08469173287649,3.68223630655921e-07,0.000202613261069886,0.919872145965778
"461","ENSG00000179772","FOXS1","20",31844301,31845619,"forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]",62.7269504406801,4.11293201229725,0.750665898895097,5.47904469665008,4.27628338226947e-08,3.73523173910753e-05,1.40489415840775
"31","ENSG00000069122","ADGRF5","6",46852522,46954943,"adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]",915.985836610676,4.04361465895595,0.62289536827826,6.49164348441516,8.49049921030035e-11,4.81403101480279e-07,1.72589654803043
"357","ENSG00000162630","B3GALT2","1",193179045,193186654,"beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]",146.815454831925,3.95899620963827,0.64183984936056,6.16819945595847,6.90719834642609e-10,1.37678631369671e-06,1.89715212580361
"244","ENSG00000138650","PCDH10","4",133149294,133208606,"protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]",383.953527008497,3.92469103021176,0.652759657269839,6.01245954234785,1.82729445375025e-09,3.9754962558472e-06,1.34936319459102
"300","ENSG00000149564","ESAM","11",124752583,124762290,"endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]",166.967151742475,3.72045387310073,0.723149724324657,5.14479055713563,2.67819438261747e-07,0.00013374669829178,1.36710616680441
