"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"216","ENSG00000129988","LBP","20",38346482,38377013,"lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]",65.0710099919623,-4.97823747968575,1.10302585322063,-4.51325548277062,6.38400423084079e-06,0.00112748777668725,1.45810280475595
"499","ENSG00000206073","SERPINB4","18",63637259,63644298,"serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]",28.5352897757313,-3.61105420219377,0.628747478145965,-5.74325039496295,9.2876230167512e-09,1.6467067980802e-05,0.919872145965778
"490","ENSG00000198732","SMOC1","14",69854131,70032366,"SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]",195.68876262947,-3.55843413602239,0.586652703176417,-6.06565710301058,1.3141523946645e-09,5.1133028137585e-06,0.685903794925567
"504","ENSG00000214100","PLAC9P1","2",129922863,129934317,"placenta associated 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52678]",56.3182013587239,-3.28229160600172,0.521910692164746,-6.28899092369166,3.19536149796068e-10,1.34611992884284e-06,1.16143969896587
"30","ENSG00000057149","SERPINB3","18",63655197,63661893,"serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]",11.0191878718046,-3.19235173109646,0.616164020588462,-5.18100964098428,2.20688084117169e-07,0.00017481824222812,0.699242695798433
"425","ENSG00000174640","SLCO2A1","3",133928145,134052184,"solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]",73.4526341308248,-2.89975108885622,0.623190332560035,-4.65307457024274,3.27021915564357e-06,0.00085215800928519,1.16143969896587
"472","ENSG00000188257","PLA2G2A","1",19975431,19980416,"phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]",43.1694894169421,-2.83651132758292,0.704386862878721,-4.02692252946135,5.6511641702388e-05,0.00517539912802276,1.16143969896587
"442","ENSG00000179813","FAM216B","13",42781550,42791549,"family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883]",4.48624063028794,-2.76856606846206,0.702829253330748,-3.93917307132801,8.17629344438943e-05,0.0156095095730649,0.274567018114319
"390","ENSG00000168079","SCARA5","8",27869883,27992673,"scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]",76.1920657450957,-2.72044797193103,0.8378041030617,-3.24711703128372,0.00116580441365411,0.030204159319237,1.34600344924221
"498","ENSG00000205221","VIT","2",36696690,36814792,"vitrin [Source:HGNC Symbol;Acc:HGNC:12697]",165.614316863849,-2.68509064880059,0.687221056450749,-3.90717167874355,9.33828046078278e-05,0.00628333283778551,1.34936319459102
