"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"405","ENSG00000166342","NETO1","18",72742314,72868146,"neuropilin and tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:13823]",5.94749347664864,4.69020841989953,0.983541204514617,4.76869540225737,1.85422767500389e-06,0.00247773865004888,0.105472817357403
"178","ENSG00000120937","NPPB","1",11857464,11858945,"natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]",88.4351861910259,4.27391116721414,0.649164341279469,6.58371215952879,4.58845045470205e-11,4.0858666806206e-07,1.64840351543516
"236","ENSG00000135312","HTR1B","6",77461753,77463773,"5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]",11.5717914340565,3.7136296087704,0.743435054292129,4.99523070284381,5.87654741483524e-07,0.000251159151670879,1.16421421663173
"483","ENSG00000179772","FOXS1","20",31844301,31845619,"forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]",62.7269504406801,3.68278451854599,0.705435960843644,5.22057950397323,1.78364113915753e-07,0.000105245483236616,1.38201636656054
"37","ENSG00000069122","ADGRF5","6",46852522,46954943,"adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]",915.985836610676,3.56873444267954,0.557251165557033,6.4041758245803,1.51183808677656e-10,6.79713708370898e-07,2.17655512739692
"259","ENSG00000138650","PCDH10","4",133149294,133208606,"protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]",383.953527008497,3.54166042525892,0.635133393868555,5.57624659551737,2.4576348107769e-08,2.35495441213267e-05,1.6810758150976
"478","ENSG00000178919","FOXE1","9",97853254,97856715,"forkhead box E1 [Source:HGNC Symbol;Acc:HGNC:3806]",139.780221284793,3.46385410358638,0.714613126832338,4.84717390924596,1.25232640730429e-06,0.000359762232037717,1.42469375367528
"317","ENSG00000149564","ESAM","11",124752583,124762290,"endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]",166.967151742475,3.45890137548414,0.699377871374678,4.94568318080385,7.58772796517477e-07,0.000256313847488795,1.42469375367528
"435","ENSG00000170775","GPR37","7",124745997,124765627,"G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]",11.3168219414147,3.44138398404714,0.738891689618456,4.65749450480919,3.20080964763176e-06,0.000929053049916566,1.00231962717157
"374","ENSG00000162630","B3GALT2","1",193179045,193186654,"beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]",146.815454831925,3.38738673699905,0.584308949623428,5.7972528731284,6.74100088232599e-09,1.09340409806852e-05,1.80990324850642
"578","ENSG00000265107","GJA5","1",147756199,147773362,"gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]",24.2079035765029,3.35777556660223,0.741218169407826,4.53007725010953,5.89621235979309e-06,0.00134835969900755,1.00231962717157
"500","ENSG00000184937","WT1","11",32387775,32435885,"WT1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12796]",16.1241432432832,3.26539058336601,0.629428540675247,5.18786545628026,2.12718193421917e-07,0.000144891069628373,1.00231962717157
"501","ENSG00000185052","SLC24A3","20",19212646,19722937,"solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]",295.845072990943,3.23426324197116,0.484721015919078,6.67242214748764,2.51615538501556e-11,4.0858666806206e-07,1.71908098672054
"4","ENSG00000003989","SLC7A2","8",17497088,17570573,"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]",138.675711380067,3.1673545244722,0.615482483134293,5.14613268657575,2.65911370754713e-07,0.000113503597174515,1.80990324850642
"293","ENSG00000144229","THSD7B","2",136765545,137677718,"thrombospondin type 1 domain containing 7B [Source:HGNC Symbol;Acc:HGNC:29348]",8.41094522318682,3.0727450506166,0.6756518364771,4.54782313127147,5.42036581292733e-06,0.00115196811957282,1.16421421663173
"95","ENSG00000103175","WFDC1","16",84294846,84329844,"WAP four-disulfide core domain 1 [Source:HGNC Symbol;Acc:HGNC:15466]",116.053524971551,3.06677972647433,0.544412849797932,5.633187621513,1.76908811561187e-08,2.20671273816755e-05,1.6810758150976
"10","ENSG00000010610","CD4","12",6786858,6820799,"CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]",63.77556826266,3.03696794057447,0.511838511089089,5.93344946653666,2.96635328351565e-09,7.13393468568097e-06,1.35632231613221
"584","ENSG00000276429","PLCH2","CHR_HSCHR1_1_CTG3",2467459,2505530,"phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]",25.535607920149,3.00876635624016,0.680608062653744,4.42070337002583,9.83801461204619e-06,0.0017897279702081,1.00231962717157
"145","ENSG00000113361","CDH6","5",31193686,31329146,"cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]",1887.7090372339,2.98346509337862,0.55894776915106,5.33764558701067,9.41612881266227e-08,5.14089500998028e-05,1.92038054669386
"15","ENSG00000021645","NRXN3","14",78170373,79868290,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]",749.302548230195,2.89526340531354,0.566244834819566,5.11309459667939,3.1692348724527e-07,0.000113503597174515,2.16398853778351
"385","ENSG00000163909","HEYL","1",39623435,39639643,"hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]",50.4001755457971,2.85537958593998,0.710944926018091,4.01631614692376,5.91149418893637e-05,0.00388900797667379,1.64840351543516
"322","ENSG00000150471","ADGRL3","4",61201258,62078335,"adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]",10.4679552597529,2.82969468638972,0.574926046883262,4.9218411684943,8.57337836508193e-07,0.000502112911026421,0.569612619937523
"143","ENSG00000113088","GZMK","5",55024253,55034570,"granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]",14.8754685614772,2.75262394412415,0.844371425633921,3.25996813790517,0.0011142473030553,0.0310854908534982,1.17443105150401
