"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"243","ENSG00000129988","LBP","20",38346482,38377013,"lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]",65.0710099919623,-5.28653106334484,1.07253451667795,-4.9290078604829,8.2648249629527e-07,0.000236268083448753,1.03611010817355
"541","ENSG00000198732","SMOC1","14",69854131,70032366,"SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]",195.68876262947,-3.50722975011751,0.588486618799877,-5.95974426278363,2.52632979332916e-09,6.95292327408308e-06,0.853005436247318
"550","ENSG00000206073","SERPINB4","18",63637259,63644298,"serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]",28.5352897757313,-3.50436094362521,0.631619275561982,-5.54821722390789,2.88597179806528e-08,3.36826885516024e-05,0.667417283722037
"555","ENSG00000214100","PLAC9P1","2",129922863,129934317,"placenta associated 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52678]",56.3182013587239,-3.27910900119705,0.534848879089391,-6.13090749443078,8.73792037238009e-10,3.51092115145821e-06,0.853005436247318
"431","ENSG00000168079","SCARA5","8",27869883,27992673,"scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]",76.1920657450957,-3.11705379979068,0.797159802478229,-3.91019942312734,9.22199522379038e-05,0.00508431587541995,1.03611010817355
"37","ENSG00000057149","SERPINB3","18",63655197,63661893,"serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]",11.0191878718046,-3.05606794885255,0.616645957007776,-4.95595229989323,7.19768741985909e-07,0.000309800407106596,0.5895917937752
"549","ENSG00000205221","VIT","2",36696690,36814792,"vitrin [Source:HGNC Symbol;Acc:HGNC:12697]",165.614316863849,-2.84295111597333,0.688776129977248,-4.12754012841189,3.66664461257823e-05,0.00308477167520044,0.853005436247318
"520","ENSG00000188257","PLA2G2A","1",19975431,19980416,"phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]",43.1694894169421,-2.84007894816297,0.693057657088682,-4.09789707842383,4.1692057171472e-05,0.00288753166915255,1.09002261408781
"473","ENSG00000174640","SLCO2A1","3",133928145,134052184,"solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]",73.4526341308248,-2.82001762231481,0.632597257595672,-4.45784041655969,8.27894976594348e-06,0.00115036439947584,1.0923664761809
"43","ENSG00000064205","CCN5","20",44714844,44728509,"cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]",656.190078222822,-2.81623006070387,0.619765949496807,-4.54402192148566,5.51909144580604e-06,0.00089512012078726,1.1240696284165
"489","ENSG00000179813","FAM216B","13",42781550,42791549,"family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883]",4.48624063028794,-2.79215490799879,0.738375779658652,-3.78148225459073,0.000155897336692927,0.0143379376694437,0.335222356709033
"335","ENSG00000147257","GPC3","X",133535745,133985895,"glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]",111.388129768943,-2.68172582108501,0.615192884252628,-4.35916261343452,1.30561072241272e-05,0.00154196699051019,0.936141999260215
"232","ENSG00000127083","OMD","9",92414245,92424461,"osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]",10.6559191329467,-2.67593345578178,0.706361844578664,-3.7883323912802,0.000151661855836449,0.010275487620779,0.5895917937752
"205","ENSG00000122121","XPNPEP2","X",129738974,129769536,"X-prolyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:12823]",42.7357500155252,-2.63223135323386,0.609499390933147,-4.31867757768207,1.5696689783106e-05,0.00156846508721896,1.0923664761809
"589","ENSG00000276920","NKD2","CHR_HSCHR5_4_CTG1",1008829,1038943,"NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046]",10.7388431044718,-2.626359736762,0.690143133407321,-3.80552904119373,0.000141501409242071,0.00981589962391491,0.5895917937752
