"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"246","ENSG00000228892","AGPAT1","CHR_HSCHR6_MHC_SSTO_CTG1",32175884,32185768,"1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]",80.8778792906998,-5.53313384887441,0.902451491739054,-6.13122577725688,8.72045437849407e-10,3.33052961359796e-06,1.85797645156011
"248","ENSG00000236873","AGPAT1","CHR_HSCHR6_MHC_APD_CTG1",32235221,32245105,"1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]",80.8778792906998,-5.53313384887441,0.902451491739054,-6.13122577725688,8.72045437849407e-10,3.33052961359796e-06,1.79853681172242
"242","ENSG00000215030","RPL13P12","17",17383377,17384012,"ribosomal protein L13 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35701]",52.0693809703246,-5.31815003419989,0.999312707131316,-5.32180767466319,1.02741162096837e-07,0.000140711896171488,2.22907487377404
"174","ENSG00000167434","CA4","17",60149942,60170899,"carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]",11.9714375837306,-5.06902488604846,1.48557397418981,-3.41216591978395,0.000644488719999698,0.0444090389171234,1.23070068884273
"218","ENSG00000186369","LINC00643","14",62114353,62130962,"long intergenic non-protein coding RNA 643 [Source:HGNC Symbol;Acc:HGNC:44296]",29.4095460826156,-5.03666355429243,1.10391222592213,-4.56255799693235,5.05341279442574e-06,0.00186493931317357,1.95925057381435
"56","ENSG00000117600","PLPPR4","1",99263953,99309590,"phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]",648.241823897023,-4.72450649429787,0.946146805155977,-4.99341800717597,5.93199758327503e-07,0.000510764505164896,1.79853681172242
"164","ENSG00000163909","HEYL","1",39623435,39639643,"hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]",95.2442805358374,-4.336712692044,0.995141339340788,-4.35788618219475,1.31324643267057e-05,0.00396335936222977,1.85797645156011
"155","ENSG00000162630","B3GALT2","1",193179045,193186654,"beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]",285.850251887905,-4.27745793974738,0.89971715810276,-4.75422514867593,1.99208942302995e-06,0.00132262985561633,1.65532779272293
"142","ENSG00000157766","ACAN","15",88803442,88875354,"aggrecan [Source:HGNC Symbol;Acc:HGNC:319]",13667.8273059945,-4.17815481934998,0.992807389883989,-4.20842437508267,2.57157564724096e-05,0.00591308868412682,1.99153144991901
"199","ENSG00000179772","FOXS1","20",31844301,31845619,"forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]",122.143623013351,-4.14149123678641,1.05858488313877,-3.91229017413003,9.14249640910561e-05,0.0147670277411247,1.33943454167781
